"","Uk","PO","Pik","Estrato","ID_unit","Prob","Stratum"
"1061",2528,15,0.0293963254593176,"1",1061,0.0293963254593176,1
"1078",1816,15,0.0293963254593176,"1",1078,0.0293963254593176,1
"1111",2942,21,0.0293963254593176,"1",1111,0.0293963254593176,1
"1123",3318,16,0.0293963254593176,"1",1123,0.0293963254593176,1
"1124",769,23,0.0293963254593176,"1",1124,0.0293963254593176,1
"1126",3321,15,0.0293963254593176,"1",1126,0.0293963254593176,1
"1137",1511,19,0.0293963254593176,"1",1137,0.0293963254593176,1
"1221",2688,21,0.0293963254593176,"1",1221,0.0293963254593176,1
"1267",3098,12,0.0293963254593176,"1",1267,0.0293963254593176,1
"1292",2759,16,0.0293963254593176,"1",1292,0.0293963254593176,1
"1302",3133,13,0.0293963254593176,"1",1302,0.0293963254593176,1
"1307",2774,16,0.0293963254593176,"1",1307,0.0293963254593176,1
"1329",1703,10,0.0293963254593176,"1",1329,0.0293963254593176,1
"1391",1036,11,0.0293963254593176,"1",1391,0.0293963254593176,1
"1395",3226,16,0.0293963254593176,"1",1395,0.0293963254593176,1
"1403",3234,19,0.0293963254593176,"1",1403,0.0293963254593176,1
"1497",1142,23,0.0293963254593176,"1",1497,0.0293963254593176,1
"1510",2369,22,0.0293963254593176,"1",1510,0.0293963254593176,1
"1526",3357,18,0.0293963254593176,"1",1526,0.0293963254593176,1
"1642",3473,20,0.0293963254593176,"1",1642,0.0293963254593176,1
"1701",3895,14,0.0293963254593176,"1",1701,0.0293963254593176,1
"1709",3661,17,0.0293963254593176,"1",1709,0.0293963254593176,1
"1797",3641,18,0.0293963254593176,"1",1797,0.0293963254593176,1
"1814",2632,20,0.0293963254593176,"1",1814,0.0293963254593176,1
"1887",2779,22,0.0293963254593176,"1",1887,0.0293963254593176,1
"1896",3900,15,0.0293963254593176,"1",1896,0.0293963254593176,1
"1931",2212,31,0.048440065681445,"2",1931,0.048440065681445,2
"1957",2238,28,0.048440065681445,"2",1957,0.048440065681445,2
"1974",1162,24,0.048440065681445,"2",1974,0.048440065681445,2
"1994",3367,31,0.048440065681445,"2",1994,0.048440065681445,2
"1995",3369,25,0.048440065681445,"2",1995,0.048440065681445,2
